Title,Título
Image,Imagen
"WYSIWYG Editor","Editor WYSIWYG"
"Attention Seekers",Buscadores
"Bouncing Entrances","Entrada de rebote"
"Bouncing Exits","Salida de rebote"
"Fading Entrances","Entrada de desvanencimiento"
"Fading Exits","Salida de desvanecimiento"
Flippers,Aleta
Lightspeed,"Velocidad de la luz"
"Rotating Entrances","Entrada giratorias"
"Rotating Exits","Salidas giratorias"
"Sliding Exits","Salidas corrediza"
"Zoom Entrances","Entrada de Zoom"
"Zoom Exits","Salida de Zoom"
Specials,Especiales
Disable,Deshabilitado
Fade,Ocultar
"Back Slide","Diapositiva anterior"
"Go Down",Bajar
"Fade Up",Desvanecerse
Previous,Anterior
Next,Siguiente
